,Unnamed: 0,rating,title,text,images,asin,parent_asin,user_id,timestamp,helpful_vote,verified_purchase,predictions,negative_phrases
0,2,1.0,Malfunction a lot,I would not recommend buying any electronics from this company; my phone came defected.,[],B07234GKN5,B07234GKN5,AFV4KKH356TLSZEHI3UBHN4SYSJQ,1582741702541,2,True,0,"['would not recommend', 'came defected']"
1,3,1.0,Battery is done for.,Battery is trashed essentially making the phone unusable.  Complete waste of money.,[],B07CQNF813,B07CQNF813,AFTPWGVZUDMJE5UUADHHZBQK4AIQ,1581536080691,0,True,0,"['Battery is trashed', 'Complete waste of money']"
2,7,1.0,Iphone 8+ no good,"This iPhone 8+ was no good out the box.  Screen Res was horrible, volume no good.  Will be returning it.",[],B07759SBP7,B07759SBP7,AEDROFHP64B6OAVL42A4555ZNRVA,1567448437165,2,True,0,"['no good out the box', 'Screen Res was horrible', 'volume no good']"
3,14,2.0,Not wat I was expecting.,Received wrong item.,[],B075NVNBCW,B075NVNBCW,AFZ4C3KAKQY7KJUISCKENRS4FWYA,1517779291469,7,True,0,['Received wrong item.']
4,19,1.0,Disappointed.,"This iPhone's screen has a delayed reaction, continues scrolling, places calls when I am not touching it and when I place a call mutes me.  Very frustrating and huge disappointment.  Looking for a new iPhone now.",[],B07759SBP7,B07759SBP7,AHS5L2SVSXFXN2AJHHJCO5AE3TZQ,1615484398335,1,True,0,"['delayed reaction', 'continues scrolling', 'places calls when I am not touching it', 'mutes me', 'Very frustrating', 'huge disappointment']"
5,23,3.0,NOT That Great!!!,"I bought my iPhone 8 Plus 256GB through XFinity Mobile. They said Apple was having a Deal on these phones. My only negatives are that I cannot see Private Browsing while using the Web. Also, sometimes people cannot hear me on speakerphone, which I use most of the time. I had the same problem with 6S and Samsung S7. Lastly, these Smart Phones were made to get into your Business, especially the Apps!!! The tracking part was put under a different name compared to my 6S iPhone. Apple guy said he loved his phone, but it is not all that great to me. I use it mainly for talking, music and taking notes. My next phone will probably be a Flip phone and my last Apple product will be the iPad 10.5"" for size and speed. I had bought the 12.9"" and a iPhone 6S Plus and they both were defective! So, they were returned within a week! So, you may be better off buying a good phone for around $400 that does the same things as the over priced iPhone.",[],B075NVNBCW,B075NVNBCW,AHD2A4CBGLBSH2PXLZYHYYAPXY5Q,1533595956763,0,False,0,"['My only negatives are', 'cannot see Private Browsing', 'people cannot hear me on speakerphone', 'these Smart Phones were made to get into your Business', 'it is not all that great to me', 'my last Apple product', 'they both were defective', 'over priced iPhone']"
6,24,1.0,Apple is slowing the 8 series down. Not worth buying.,"I bought this in Jan 2021 and it was working perfectly fine for the last 9 8 months, until September 2021. AT&T upgraded their towers. Ever since then my phone is super slow. The new IOS made it worse.<br />This phone is so frustrating. I would just go with the newer ones.",[],B07759SBP7,B07759SBP7,AHYG2YLWKEFROCL4U4TBJOQKO3FA,1633638948217,1,True,0,"['my phone is super slow', 'The new IOS made it worse', 'This phone is so frustrating']"
7,30,3.0,iOS Outdated for most Apps,"Got this phone new for Christmas 2014. Enjoyed it for 2 years but noticed that many of the apps were not being supported anymore. This phone maxed out at iOS 7.1.2 and most apps are now 8.0 or higher. From the beginning It freezes up and crashes often. I have upgraded (going back to android.) Was going to give it to my daughter, but I know it will only frustrate her! Instead, I will it to my 62 yr old mother who is still using a flip phone. I'm sure she'll enjoy it.<br /><br />P.S. Don't pay extra for the white one. Not worth the extra $",[],B004YRBM1Q,B004YRBM1Q,AEZFUCJJJO4EEYXDQW5JXQFX5KYA,1482883990000,0,False,0,"['many of the apps were not being supported anymore', 'This phone maxed out at iOS 7.1.2 and most apps are now 8.0 or higher', 'It freezes up and crashes often', 'it will only frustrate her', 'Not worth the extra $']"
8,33,1.0,It didn't work. Had to return to Amazon.,It didn't work. Had to return to Amazon.,[],B07234GKN5,B07234GKN5,AEYV5YRNGS3XW4XYBUYHPDATULOA,1554658818908,2,True,0,"[""It didn't work"", 'Had to return to Amazon']"
9,35,1.0,Battery life said degraded and needed to be replaced,Not pleased after the whole hassle to set up phone and contacted seller they said to return and would send a new one out. I decided to order a new one from a diff vendor on Amazon so I wouldn’t have to go without a phone -needed for home and work.<br /><br />I shouldn’t be paying $300 for a degraded battery that needed replacing as a”guaranteed renewed phone”,"[{'small_image_url': 'https://m.media-amazon.com/images/I/71UDZmp7jtL._SL256_.jpg', 'medium_image_url': 'https://m.media-amazon.com/images/I/71UDZmp7jtL._SL800_.jpg', 'large_image_url': 'https://m.media-amazon.com/images/I/71UDZmp7jtL._SL1600_.jpg', 'attachment_type': 'IMAGE'}]",B07759SBP7,B07759SBP7,AF4KBHIY55SXV43J2PD5HHJBUNIA,1646607807650,0,True,0,"['Not pleased', 'whole hassle', 'wouldn’t have to go without a phone', 'degraded battery', 'needed replacing']"
